CRA_ID,Neighborhood ID,Community Reporting Area Names,Neighborhood Names,Neighborhood District Name,Area Acres,Area Square Miles,Display Name,Total Population,Median Age (years),Total Households,Average Household Size,Total Housing Units,Occupied Housing Units,Percent Occupied Housing Units,Vacant Housing Units,Percent Value Housing Units,Owner-occupied housing units,High School graduate,Bachelor degree,Percent High school graduate or higher,Percent Bachelor degree or higher,Population 5 years and over,Speak English less than very well,Percent Speak English less than very well,Median household income(dollars),Percentage of all people whose income in the past 12 months is below poverty,Percentage of all families whose income in the past 12 months is below poverty,Total population for whom poverty status is determined,Population 200% below poverty,Percent of Population 200% below poverty,Person of Color,Population under 18,Speak language other than English,Percent of Population that speaks language other than English,Percent of Population under 18 years,"Housing Unit Value Less than $50,000","Housing Unit Value $50,000 to $99,999","Housing Unit Value $100,000 to $149,999","Housing Unit Value $150,000 to $199,999","Housing Unit Value $200,000 to $299,999","Housing Unit Value $300,000 to $499,999","Housing Unit Value $500,000 to $999,999","Housing Unit Value $1,000,000 or more",Median owner-occupied housing unit value(dollars),Median gross rent (dollars),Civilian labor force,Civilian labor force employed,Civilian labor force unemployed,Not in labor force,"Household income less than $10,000","Household income $10,000 to $14,999","Household income $15,000 to $24,999","Household income $25,000 to $34,999","Household income $35,000 to $49,999","Household income $50,000 to $74,999","Household income $75,000 to $99,999","Household income $100,000 to $149,999","Household income $150,000 to $199,999","Household income $200,000 or more",Percent civilian labor force that is unemployed,Profile Name,Population per Gross Acres,Housing Units per Gross Acres,Households per Gross Acres
10.4,10,Ballard,"Ballard, West Woodland, Adams",Ballard,493,0.8,CRA - Ballard,"8,649",34,"5,328",2,"5,580","5,328",95.5,252,5,"1,456",619,"3,905",97.5,73,"8,362",260,3,"79,162",7,0,"8,649","1,342",16,"1,904",671,"1,175",14.1,7.8,0,36,0,0,89,485,785,61,"543,200","1,542","6,313","5,989",324,"1,736",298,160,356,321,451,882,"1,048",847,256,709,5.1,ACS 2013-2017 Demographic Profiles Ballard,17.6,11.3,10.8
10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",Ballard,"1,284",2,CRA - North Beach-Blue Ridge,"12,701",42.6,"5,309",2.38,"5,532","5,309",96,223,4,"3,850",998,"3,362",97.1,61.3,"11,977",396,3.3,"94,804",7.8,6.6,"12,692","1,846",14.5,"2,532","2,412","1,375",11.5,19,16,8,46,40,154,"1,014","2,096",476,"658,600","1,476","7,787","7,519",268,"2,666",228,116,294,295,326,977,627,885,494,"1,067",3.4,ACS 2013-2017 Demographic Profiles North Beach Blue Ridge,9.9,4.3,4.1
7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",Northeast,951,1.5,CRA - Montlake-Portage Bay,"9,732",37.3,"4,635",2.09,"4,831","4,635",95.9,196,4.1,"2,638",280,"2,844",98.9,80.2,"9,198",85,0.9,"132,573",4.6,2,"9,657",886,9.2,"1,813","1,397",782,8.5,14.4,49,0,0,34,103,272,"1,340",840,"821,250","1,723","6,518","6,408",110,"1,941",68,45,72,134,350,647,560,"1,042",471,"1,246",1.7,ACS 2013-2017 Demographic Profiles Montlake Portage Bay,10.2,5.1,4.9
12.2,12,Interbay,Interbay,Magnolia/Queen Anne,"1,215",1.9,CRA - Interbay,"11,024",34.4,"5,616",1.92,"6,114","5,616",91.9,498,8.1,"2,053",745,"3,624",97.3,63.9,"10,449",453,4.3,"74,679",8.7,4.5,"10,776","1,818",16.9,"2,948","1,452","1,865",17.8,13.2,21,23,115,67,233,413,"1,029",152,"571,300","1,490","7,885","7,551",334,"1,675",153,58,312,289,827,"1,186",838,"1,035",386,532,4.2,ACS 2013-2017 Demographic Profiles Interbay,9.1,5,4.6
6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",East,284,0.4,CRA - North Capitol Hill,"4,807",36.1,"2,481",1.93,"2,599","2,481",95.5,118,4.5,"1,124",151,"1,620",99.4,75.5,"4,548",75,1.6,"96,220",2.3,1.2,"4,789",448,9.4,894,655,496,10.9,13.6,20,0,0,0,56,246,321,481,"896,200","1,576","3,415","3,266",149,759,0,39,147,71,258,409,338,449,204,566,4.4,ACS 2013-2017 Demographic Profiles North Capitol Hill,16.9,9.2,8.8
6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",East,427,0.7,CRA - Capitol Hill,"23,837",31.6,"16,044",1.47,"17,090","16,044",93.9,"1,046",6.1,"2,837","1,310","8,360",97.9,67.4,"23,323",564,2.4,"58,476",14,7.3,"23,799","6,284",26.4,"7,088","1,006","3,326",14.3,4.2,40,15,83,69,823,"1,247",485,75,"355,675","1,336","18,997","18,546",451,"3,803","1,174",694,"1,348","1,404","1,788","2,819","2,276","2,490","1,076",975,2.4,ACS 2013-2017 Demographic Profiles Capitol Hill,55.9,40.1,37.6
7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",Northeast,"1,503",2.4,CRA - Wedgwood-View Ridge,"16,188",41.1,"6,588",2.44,"6,906","6,588",95.4,318,4.6,"4,931",679,"4,046",98.4,72.8,"15,271",651,4.3,"114,723",5.6,3.1,"16,080","1,829",11.4,"3,558","3,494","2,344",15.3,21.6,61,0,49,65,178,"1,115","2,948",515,"628,275","1,596","9,259","8,871",388,"3,734",166,169,138,376,632,780,610,"1,113",833,"1,771",4.2,ACS 2013-2017 Demographic Profiles Wedgwood View Ridge,10.8,4.6,4.4
10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",Ballard,689,1.1,CRA - Whittier Heights,"12,927",36.7,"5,909",2.18,"6,118","5,909",96.6,209,3.4,"3,513",885,"4,306",97.4,70,"12,060",336,2.8,"100,023",5.1,1.7,"12,888","1,773",13.8,"2,411","2,373","1,366",11.3,18.4,34,22,16,0,92,883,"2,417",49,"604,400","1,519","8,737","8,390",347,"1,973",99,177,279,398,335,866,794,"1,300",700,961,4,ACS 2013-2017 Demographic Profiles Whittier Heights,18.8,8.9,8.6
2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",Delridge Neighborhoods,"1,607",2.5,CRA - North Delridge,"5,675",36.7,"2,858",1.98,"2,978","2,858",96,120,4,"1,478",417,"1,957",96.9,60.8,"5,345",299,5.6,"75,000",8.7,8.1,"5,675",882,15.5,"1,451",818,641,12,14.4,33,17,0,180,222,599,414,13,"368,300","1,305","3,992","3,710",282,913,102,73,161,130,364,599,323,570,361,175,7.1,ACS 2013-2017 Demographic Profiles North Delridge,3.5,1.9,1.8
9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",Northwest,"1,479",2.3,CRA - Broadview-Bitter Lake,"15,073",46.3,"7,448",1.97,"7,913","7,448",94.1,465,5.9,"3,173","1,967","3,540",95.1,49.4,"14,322","1,141",8,"77,688",13.4,8,"14,707","3,850",26.2,"4,892","2,057","2,630",18.4,13.6,44,41,78,234,223,"1,078","1,285",190,"484,400","1,283","8,222","7,893",329,"5,076",524,448,722,"1,262",877,853,734,778,494,756,4,ACS 2013-2017 Demographic Profiles Broadview Bitter Lake,10.2,5.4,5
