,var1,var2
2,Crime Rate,Average Household Size
11,Crime Rate,Percent of Population under 18 years
17,Crime Rate,PCT_POP_INC_UNDER_200_POVERTY
39,Median Age (years),Population per Gross Acres
40,Median Age (years),Housing Units per Gross Acres
41,Median Age (years),Households per Gross Acres
46,Median Age (years),PCT_ADULT_WITH_DISABILITIES
50,Average Household Size,Crime Rate
57,Average Household Size,Percent Speak English less than very well
61,Average Household Size,Percent of Population under 18 years
64,Average Household Size,Population per Gross Acres
65,Average Household Size,Housing Units per Gross Acres
66,Average Household Size,Households per Gross Acres
79,Percent Occupied Housing Units,Percent Value Housing Units
103,Percent Value Housing Units,Percent Occupied Housing Units
111,Percent Value Housing Units,Percent of Population under 18 years
131,Percent High school graduate or higher,Percent Bachelor degree or higher
132,Percent High school graduate or higher,Percent Speak English less than very well
133,Percent High school graduate or higher,Median household income(dollars)
134,Percent High school graduate or higher,Percentage of all people whose income in the past 12 months is below poverty
135,Percent High school graduate or higher,Percent of Population that speaks language other than English
137,Percent High school graduate or higher,Median gross rent (dollars)
138,Percent High school graduate or higher,Percent civilian labor force that is unemployed
142,Percent High school graduate or higher,PCT_POP_INC_UNDER_200_POVERTY
143,Percent High school graduate or higher,PCT_LESS_BACHELOR_DEGREE
144,Percent High school graduate or higher,PCT_ADULTNOLEISUREPHYSACTIVITY
145,Percent High school graduate or higher,PCT_ADULTMENTALHEALTHNOTGOOD
146,Percent High school graduate or higher,PCT_ADULT_WITH_DISABILITIES
148,Percent High school graduate or higher,SOCIOECONOMIC_QUINTILE
149,Percent High school graduate or higher,HEALTH_QUINTILE
155,Percent Bachelor degree or higher,Percent High school graduate or higher
157,Percent Bachelor degree or higher,Percent Speak English less than very well
158,Percent Bachelor degree or higher,Median household income(dollars)
159,Percent Bachelor degree or higher,Percentage of all people whose income in the past 12 months is below poverty
160,Percent Bachelor degree or higher,Percent of Population that speaks language other than English
162,Percent Bachelor degree or higher,Median gross rent (dollars)
163,Percent Bachelor degree or higher,Percent civilian labor force that is unemployed
167,Percent Bachelor degree or higher,PCT_POP_INC_UNDER_200_POVERTY
168,Percent Bachelor degree or higher,PCT_LESS_BACHELOR_DEGREE
169,Percent Bachelor degree or higher,PCT_ADULTNOLEISUREPHYSACTIVITY
170,Percent Bachelor degree or higher,PCT_ADULTMENTALHEALTHNOTGOOD
171,Percent Bachelor degree or higher,PCT_ADULT_WITH_DISABILITIES
172,Percent Bachelor degree or higher,PCT_LOW_LIFE_EXPECT_AT_BIRTH
173,Percent Bachelor degree or higher,SOCIOECONOMIC_QUINTILE
174,Percent Bachelor degree or higher,HEALTH_QUINTILE
177,Percent Speak English less than very well,Average Household Size
180,Percent Speak English less than very well,Percent High school graduate or higher
181,Percent Speak English less than very well,Percent Bachelor degree or higher
183,Percent Speak English less than very well,Median household income(dollars)
184,Percent Speak English less than very well,Percentage of all people whose income in the past 12 months is below poverty
185,Percent Speak English less than very well,Percent of Population that speaks language other than English
187,Percent Speak English less than very well,Median gross rent (dollars)
188,Percent Speak English less than very well,Percent civilian labor force that is unemployed
192,Percent Speak English less than very well,PCT_POP_INC_UNDER_200_POVERTY
193,Percent Speak English less than very well,PCT_LESS_BACHELOR_DEGREE
194,Percent Speak English less than very well,PCT_ADULTNOLEISUREPHYSACTIVITY
195,Percent Speak English less than very well,PCT_ADULTMENTALHEALTHNOTGOOD
198,Percent Speak English less than very well,SOCIOECONOMIC_QUINTILE
199,Percent Speak English less than very well,HEALTH_QUINTILE
205,Median household income(dollars),Percent High school graduate or higher
206,Median household income(dollars),Percent Bachelor degree or higher
207,Median household income(dollars),Percent Speak English less than very well
